X,Y,OBJECTID,Codigo_DANE_anterior,DANE_Letra,DANE_Actual,DIRECCION,ESTABLECIMIENTO_EDUCATIVO,SEDE,Zona,Identificador,POINT_X,POINT_Y,POINT_Z,BARRIO,COMUNA,VEREDA_COMUNIDAD,COD_DANE_DEPMUN,MUNICIPIO,PROVINCIA,NOMBRE_GEOGRAFICO,CATEGORIA,CORREGIMIENTO,VEREDA_IGAC,Estado_InfraestructuraE,PROV_ORIG,MUNI_ORIG,INST_ORIG,SEDE_ORIG
1151745.7932,1223413.5002,433,268266000033,268266000025E,26826600002505,VEREDA JUNCALITO,COLEGIO_TECNICO_AGROINDUSTRIAL,ESCUELA_RURAL_JUNCALITO,RURAL,787,-72.7045330004031,6.61546699987979,0,,,JUNCAL,68266,ENCISO,GARCIA_ROVIRA,JUNCAL,Vereda,,JUNCAL,Deficit,GARCÍA_ROVIRA,ENCISO,COLEGIO TECNICO AGROINDUSTRIAL PEÑACOLORADA,ESCUELA RURAL JUNCALITO
1139771.2751,1266225.3905,434,268318000304,268318000215H,26831800021508,VEREDA EL COLORADO,INSTITUCION_EDUCATIVA_BARAYA_GUACA,ESCUELA_RURAL_EL_COLORADO,RURAL,815,-72.8124939998727,7.00263100042045,0,,,PORTILLO,68318,GUACA,GARCIA_ROVIRA,PORTILLO,Vereda,,PORTILLO,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA BARAYA,ESCUELA RURAL EL COLORADO
1138299.3504,1260230.1573,435,268318000134,268318000215B,26831800021502,VEREDA EL ORTIGAL,INSTITUCION_EDUCATIVA_BARAYA_GUACA,ESCUELA_RURAL_EL_ORTIGAL,RURAL,816,-72.8258560001277,6.94843900028453,0,,,ORTIGAL,68318,GUACA,GARCIA_ROVIRA,ORTIGAL,Vereda,,ORTIGAL,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA BARAYA,ESCUELA RURAL EL ORTIGAL
1139776.5377,1268028.6271,436,268318000517,268318000215F,26831800021506,VEREDA EL COLORADO,INSTITUCION_EDUCATIVA_BARAYA_GUACA,ESCUELA_RURAL_LA_ESPERANZA,RURAL,817,-72.8124329995965,7.01893400011831,0,,,PORTILLO,68318,GUACA,GARCIA_ROVIRA,PORTILLO,Vereda,,PORTILLO,Cumple,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA BARAYA,ESCUELA RURAL LA ESPERANZA
1139919.8529,1272857.9752,437,268318000550,268318000215I,26831800021509,VEREDA EL COLORADO,INSTITUCION_EDUCATIVA_BARAYA_GUACA,ESCUELA_RURAL_MOGORONTOQUE,RURAL,819,-72.8111000002183,7.06259500001994,0,,,MOGORONTOQUE,68318,GUACA,GARCIA_ROVIRA,MOGORONTOQUE,Vereda,,MOGORONTOQUE,Cumple,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA BARAYA,ESCUELA RURAL MOGORONTOQUE
1141445.2612,1262487.942,438,268318000096,268318000215C,26831800021503,VEREDA NUCUBUCA,INSTITUCION_EDUCATIVA_BARAYA_GUACA,ESCUELA_RURAL_NUCUBUCA,RURAL,820,-72.7973750000922,6.96882799984667,0,,,NUCUBUCA,68318,GUACA,GARCIA_ROVIRA,NUCUBUCA,Vereda,,NUCUBUCA,Cumple,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA BARAYA,ESCUELA RURAL NUCUBUCA
1142816.7887,1261613.2406,439,268318000118,268318000215L,26831800021512,VERERA NUCUBUCA SECTOR NUEVA GRANADA,INSTITUCION_EDUCATIVA_BARAYA_GUACA,ESCUELA_RURAL_NUEVA_GRANADA,RURAL,821,-72.7849720001094,6.96090900016631,0,,,EL_POTRERO,68318,GUACA,GARCIA_ROVIRA,EL POTRERO,Vereda,,EL_POTRERO,Cumple,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA BARAYA,ESCUELA RURAL NUEVA GRANADA
1142027.1732,1259095.8962,440,268318000185,268318000215K,26831800021511,VEREDA NUCUBUCA,INSTITUCION_EDUCATIVA_BARAYA_GUACA,ESCUELA_RURAL_VEGA_GRANDE,RURAL,822,-72.7921359996544,6.93815600021375,0,,,NUEVA_GRANADA,68318,GUACA,GARCIA_ROVIRA,NUEVA GRANADA,Vereda,,NUEVA_GRANADA,Cumple,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA BARAYA,ESCUELA RURAL VEGA GRANDE
1139353.2595,1263710.2765,441,268318000215,268318000215A,26831800021501,VEREDA BARAYA,INSTITUCION_EDUCATIVA_BARAYA_GUACA,INSTITUCION_EDUCATIVA_BARAYA,RURAL,823,-72.8162949996331,6.97989500031511,0,,,BARAYA,68318,GUACA,GARCIA_ROVIRA,BARAYA,Vereda,,BARAYA,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA BARAYA,INSTITUCION EDUCATIVA BARAYA
1131524.6155,1252561.0927,442,268318000070,268318000274C,26831800027403,VEREDA QUEBRADAS,INSTITUCION_EDUCATIVA_QUEBRADAS_GUACA,ESCUELA_RURAL_LA_RINCONADA,RURAL,829,-72.8871980000072,6.87914800027563,0,,,QUEBRADAS,68318,GUACA,GARCIA_ROVIRA,QUEBRADAS,Vereda,,QUEBRADAS,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA QUEBRADAS,ESCUELA RURAL LA RINCONADA
1130277.867,1250922.9546,443,268318000274,268318000274A,26831800027401,VEREDA QUEBRADAS,INSTITUCION_EDUCATIVA_QUEBRADAS_GUACA,INSTITUCION_EDUCATIVA_QUEBRADAS,RURAL,832,-72.8984859998225,6.86434500028656,0,,,QUEBRADAS,68318,GUACA,GARCIA_ROVIRA,QUEBRADAS,Vereda,,QUEBRADAS,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUCION EDUCATIVA QUEBRADAS,INSTITUCION EDUCATIVA QUEBRADAS
1135608.426,1254338.0123,444,268318000533,268318000355D,26831800035504,VEREDA CAMARA,INSTITUTO_TECNICO_AGROPECUARIO_GUACA,ESCUELA_RURAL_ALTA_GRACIA,RURAL,833,-72.8502420004076,6.89518699986225,0,,,CAMARA,68318,GUACA,GARCIA_ROVIRA,CAMARA,Vereda,,CAMARA,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUTO AGRICOLA NUESTRA SEÑORA DEL SOCORRO,ESCUELA RURAL ALTA GRACIA
1139982.463,1259478.8468,445,268318000339,268318000355E,26831800035505,VEREDA CUPAGA,INSTITUTO_TECNICO_AGROPECUARIO_GUACA,ESCUELA_RURAL_ALTO_CUPAGA,RURAL,834,-72.8106330000022,6.94163400026378,0,,,NUEVA_GRANADA,68318,GUACA,GARCIA_ROVIRA,NUEVA GRANADA,Vereda,,NUEVA_GRANADA,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUTO AGRICOLA NUESTRA SEÑORA DEL SOCORRO,ESCUELA RURAL ALTO CUPAGA
1137337.1311,1254729.2236,446,268318000061,268318000355F,26831800035506,VEREDA CUPAGA,INSTITUTO_TECNICO_AGROPECUARIO_GUACA,ESCUELA_RURAL_BAJO_CUPAGA,RURAL,835,-72.8345999995745,6.89871200040347,0,,,CUPAGÁ,68318,GUACA,GARCIA_ROVIRA,CUPAGÁ,Vereda,,CUPAGÁ,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUTO AGRICOLA NUESTRA SEÑORA DEL SOCORRO,ESCUELA RURAL BAJO CUPAGA
1143369.3725,1255980.3888,447,268318000231,268318000355K,26831800035511,VEREDA SISOTA,INSTITUTO_TECNICO_AGROPECUARIO_GUACA,ESCUELA_RURAL_BAJO_SISOTA,RURAL,836,-72.7800169999116,6.90997799980079,0,,,SISOTA_BAJO,68318,GUACA,GARCIA_ROVIRA,SISOTA BAJO,Vereda,,SISOTA_BAJO,Cumple,GARCÍA_ROVIRA,GUACA,INSTITUTO AGRICOLA NUESTRA SEÑORA DEL SOCORRO,ESCUELA RURAL BAJO SISOTA
1139281.455,1253743.2751,448,268318000100,268318000355L,26831800035512,VEREDA EL PALMAR,INSTITUTO_TECNICO_AGROPECUARIO_GUACA,ESCUELA_RURAL_EL_PALMAR,RURAL,838,-72.8170169998789,6.88978399960235,0,,,EL_PALMAR,68318,GUACA,GARCIA_ROVIRA,EL PALMAR,Vereda,,EL_PALMAR,Deficit,GARCÍA_ROVIRA,GUACA,INSTITUTO AGRICOLA NUESTRA SEÑORA DEL SOCORRO,ESCUELA RURAL EL PALMAR
1137227.0918,1252907.1023,449,268318000410,268318000355I,26831800035509,VEREDA CUPAGA,INSTITUTO_TECNICO_AGROPECUARIO_GUACA,ESCUELA_RURAL_EL_SALADO,RURAL,839,-72.8356080002658,6.88223900043217,0,,,CUPAGÁ,68318,GUACA,GARCIA_ROVIRA,CUPAGÁ,Vereda,,CUPAGÁ,Alerta,GARCÍA_ROVIRA,GUACA,INSTITUTO AGRICOLA NUESTRA SEÑORA DEL SOCORRO,ESCUELA RURAL EL SALADO
